"","Name","Line.1","Line.2","Town","County","Postcode","full_add","latitude","longitude"
"158","Vagabond Wines Northcote Road","4 Northcote Road","","London","Greater London","SW11 1NT","4 Northcote Road  SW11 1NT London Greater London",51.460586,-0.1670868
"159","burger fellaz","51 Stafford Road","","Wallington","Greater London","SM6 9AP","51 Stafford Road  SM6 9AP Wallington Greater London",51.3584017,-0.1446657
"160","Hozi","25-27","Theobalds Road","London","Greater London","WC1X 8SP","25-27 Theobalds Road WC1X 8SP London Greater London",51.5201852,-0.1178185
"161","Draft House Camden","102-106","Camden Road","London","Greater London","NW1 9EA","102-106 Camden Road NW1 9EA London Greater London",51.5415402,-0.1383177
"162","Draft House Tankard","111 Kennington Road","","London","Greater London","SE11 6SF","111 Kennington Road  SE11 6SF London Greater London",51.4953279,-0.1106915
"163","Draft House Northcote","94 Northcote Road","","London","Greater London","SW11 6QW","94 Northcote Road  SW11 6QW London Greater London",51.4574439,-0.1659374
"164","Draft House Westbridge","74-76","Battersea Bridge Road","London","Greater London","SW11 3AG","74-76 Battersea Bridge Road SW11 3AG London Greater London",51.4782512,-0.1701422
"165","Draft House Tower Bridge","206-208","Tower Bridge Road","London","Greater London","SE1 2UP","206-208 Tower Bridge Road SE1 2UP London Greater London",51.5028692,-0.0768956215501719
"166","Draft House Farringdon","55 Charterhouse Street","","London","Greater London","EC1M 6PR","55 Charterhouse Street  EC1M 6PR London Greater London",51.51926975,-0.10375738538513
"167","Draft House Birdcage","80 Columbia Road","","London","Greater London","E2 7QB","80 Columbia Road  E2 7QB London Greater London",51.5283246,-0.0709876
"168","Draft House Charlotte","43 Goodge Street","","London","Greater London","W1T 1TA","43 Goodge Street  W1T 1TA London Greater London",51.51922655,-0.135768618380116
"169","Dragon Inn Club","16-18","Upper Tachbrook Street","London","Greater London","SW1V 1SH","16-18 Upper Tachbrook Street SW1V 1SH London Greater London",51.4930227,-0.139352
"170","Casuarina Tree","407 London Road","","Mitcham","Greater London","CR4 4BG","407 London Road  CR4 4BG Mitcham Greater London",51.3980144,-0.1722345
"171","Superfish","20 London Road","","Morden","Greater London","SM4 5BQ","20 London Road  SM4 5BQ Morden Greater London",51.4018111,-0.1947793
"172","Superfish","64 The Broadway","Cheam","Sutton","Greater London","SM3 8BD","64 The Broadway Cheam SM3 8BD Sutton Greater London",51.3585411,-0.2165805
"173","nepalese food zone limited","78 Bedfont Lane","","Feltham","Greater London","TW14 9BP","78 Bedfont Lane  TW14 9BP Feltham Greater London",51.4481663,-0.4117855
"174","Mama Lan","Ground Floor","8 The Pavement","London","Greater London","SW4 0HY","Ground Floor 8 The Pavement SW4 0HY London Greater London",51.4614323,-0.1393769
"175","My Old Dutch","221 Kings Road","","London","Greater London","SW3 5EJ","221 Kings Road  SW3 5EJ London Greater London",51.4864475463291,-0.170865018803433
"176","My Old Dutch","16 Kensington Church Street","","London","Greater London","W8 4EP","16 Kensington Church Street  W8 4EP London Greater London",51.5025374,-0.1910347
"177","My Old Dutch","131-132","High Holborn","London","Greater London","WC1V 6PS","131-132 High Holborn WC1V 6PS London Greater London",51.51753085,-0.122062979024804
"178","Little Pickelry","68 Dalston Lane","","London","Greater London","E8 3AH","68 Dalston Lane  E8 3AH London Greater London",51.5462113,-0.0703622
